"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOPFORECAST","TOT","PC_GDP","A","1960",-3.6972647195,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1961",-0.1202198305,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1962",-0.7939937345,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1963",-0.0197745699,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1964",-1.1038024869,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1965",-3.4231365484,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1966",-1.7976735989,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1967",-2.2859164897,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1968",-3.3352781019,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1969",-1.740360194,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1970",-1.3315682915,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1971",-1.1620809466,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1972",1.4246234924,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1973",1.132506942,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1974",-2.4525893508,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1975",-0.5605701948,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1976",-1.286597664,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1977",-2.3194465183,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1978",-3.1694205931,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1979",-1.4730619881,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1980",-2.2744371378,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1981",-4.1614698993,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1982",-4.078773806,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1983",-3.152581947,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1984",-4.1603789123,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1985",-4.9052907121,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1986",-5.0108289396,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1987",-3.3965516676,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1988",-3.8429341513,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1989",-6.0023286006,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1990",-4.8340459305,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1991",-3.2890138003,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1992",-3.2778082522,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1993",-3.0277135853,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1994",-4.4908634586,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1995",-4.9138082502,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1996",-3.3961639299,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1997",-2.8260346193,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1998",-4.7052004935,
"AUS","BOPFORECAST","TOT","PC_GDP","A","1999",-5.2997479526,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2000",-3.8438526085,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2001",-2.1176147482,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2002",-3.7470443871,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2003",-5.4002942302,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2004",-6.2921685802,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2005",-5.8991324011,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2006",-5.7859859337,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2007",-6.723649994,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2008",-4.8272725728,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2009",-4.7092785539,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2010",-3.550668443,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2011",-2.9321146779,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2012",-4.2537158438,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2013",-3.4339435859,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2014",-3.063493175,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2015",-4.6819080564,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2016",-4.4873013379,
"AUS","BOPFORECAST","TOT","PC_GDP","A","2017",-3.5976761097,
"AUS","BOPFORECAST","TOT","USD","A","1960",-713962786.588486,
"AUS","BOPFORECAST","TOT","USD","A","1961",-22971272.8472958,
"AUS","BOPFORECAST","TOT","USD","A","1962",-164312025.87155,
"AUS","BOPFORECAST","TOT","USD","A","1963",-5531546.82544433,
"AUS","BOPFORECAST","TOT","USD","A","1964",-272837083.004734,
"AUS","BOPFORECAST","TOT","USD","A","1965",-915102483.97852,
"AUS","BOPFORECAST","TOT","USD","A","1966",-510995632.186059,
"AUS","BOPFORECAST","TOT","USD","A","1967",-718561891.859585,
"AUS","BOPFORECAST","TOT","USD","A","1968",-1145645382.14375,
"AUS","BOPFORECAST","TOT","USD","A","1969",-669964235.039463,
"AUS","BOPFORECAST","TOT","USD","A","1970",-571303549.316938,
"AUS","BOPFORECAST","TOT","USD","A","1971",-562125501.433016,
"AUS","BOPFORECAST","TOT","USD","A","1972",793597725.134023,
"AUS","BOPFORECAST","TOT","USD","A","1973",874787758.727945,
"AUS","BOPFORECAST","TOT","USD","A","1974",-2337550643.33654,
"AUS","BOPFORECAST","TOT","USD","A","1975",-547977984.481834,
"AUS","BOPFORECAST","TOT","USD","A","1976",-1418594794.13523,
"AUS","BOPFORECAST","TOT","USD","A","1977",-2581437905.20186,
"AUS","BOPFORECAST","TOT","USD","A","1978",-4030771635.63055,
"AUS","BOPFORECAST","TOT","USD","A","1979",-2100521658.71855,
"AUS","BOPFORECAST","TOT","USD","A","1980",-3772875556.64418,
"AUS","BOPFORECAST","TOT","USD","A","1981",-7849868795.26044,
"AUS","BOPFORECAST","TOT","USD","A","1982",-7688269556.66721,
"AUS","BOPFORECAST","TOT","USD","A","1983",-5654496940.00001,
"AUS","BOPFORECAST","TOT","USD","A","1984",-8161195995.34158,
"AUS","BOPFORECAST","TOT","USD","A","1985",-8519704840.78694,
"AUS","BOPFORECAST","TOT","USD","A","1986",-9155235057.78758,
"AUS","BOPFORECAST","TOT","USD","A","1987",-7243574814.11421,
"AUS","BOPFORECAST","TOT","USD","A","1988",-10512907555.6742,
"AUS","BOPFORECAST","TOT","USD","A","1989",-18398828764.8305,
"AUS","BOPFORECAST","TOT","USD","A","1990",-15559190120.8911,
"AUS","BOPFORECAST","TOT","USD","A","1991",-10661073510.2355,
"AUS","BOPFORECAST","TOT","USD","A","1992",-10397826572.5137,
"AUS","BOPFORECAST","TOT","USD","A","1993",-9358748416.98344,
"AUS","BOPFORECAST","TOT","USD","A","1994",-15921958654.1219,
"AUS","BOPFORECAST","TOT","USD","A","1995",-18658031352.5597,
"AUS","BOPFORECAST","TOT","USD","A","1996",-14440082374.1054,
"AUS","BOPFORECAST","TOT","USD","A","1997",-11940754571.1789,
"AUS","BOPFORECAST","TOT","USD","A","1998",-17848202560.8628,
"AUS","BOPFORECAST","TOT","USD","A","1999",-21787274929.582,
"AUS","BOPFORECAST","TOT","USD","A","2000",-15450559454.9208,
"AUS","BOPFORECAST","TOT","USD","A","2001",-7969249868.19406,
"AUS","BOPFORECAST","TOT","USD","A","2002",-15982641253.9088,
"AUS","BOPFORECAST","TOT","USD","A","2003",-29258654534.6138,
"AUS","BOPFORECAST","TOT","USD","A","2004",-41348298389.6387,
"AUS","BOPFORECAST","TOT","USD","A","2005",-43265036837.025,
"AUS","BOPFORECAST","TOT","USD","A","2006",-45288954162.084,
"AUS","BOPFORECAST","TOT","USD","A","2007",-64021960755.6298,
"AUS","BOPFORECAST","TOT","USD","A","2008",-52344395280.2437,
"AUS","BOPFORECAST","TOT","USD","A","2009",-48754418668.1083,
"AUS","BOPFORECAST","TOT","USD","A","2010",-44274349113.0499,
"AUS","BOPFORECAST","TOT","USD","A","2011",-43954792855.8777,
"AUS","BOPFORECAST","TOT","USD","A","2012",-66255459366.5876,
"AUS","BOPFORECAST","TOT","USD","A","2013",-51455896936.1479,
"AUS","BOPFORECAST","TOT","USD","A","2014",-44346410581.9219,
"AUS","BOPFORECAST","TOT","USD","A","2015",-56832079513.8821,
"AUS","BOPFORECAST","TOT","USD","A","2016",-54498514975.873,
"AUS","BOPFORECAST","TOT","USD","A","2017",-46117845710.8592,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1970",-0.2992476053,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1971",-0.2323862132,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1972",-0.6832555427,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1973",-1.0152632588,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1974",-0.9158198975,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1975",-0.6363418519,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1976",-2.5164367408,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1977",-4.1677205046,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1978",-0.8126088581,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1979",-1.072394712,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1980",-1.4215513804,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1981",-1.2129855992,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1982",1.5801546428,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1983",0.7895562995,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1984",0.2529188839,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1985",0.4354106655,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1986",0.7782775065,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1987",0.2890710453,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1988",0.3601338655,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1989",0.7940938735,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1990",1.4614351527,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1991",0.71627879,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1992",-0.5717313202,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1993",-0.9366356882,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1994",-1.1236989017,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1995",-3.5596322435,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1996",-3.5349802667,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1997",-2.9864110307,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1998",-1.984822071,
"AUT","BOPFORECAST","TOT","PC_GDP","A","1999",-2.0189873949,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2000",-0.8763076435,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2001",-0.9790805308,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2002",3.2137382609,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2003",2.0190652713,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2004",2.6317121996,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2005",2.558181726,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2006",3.304074399,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2007",3.8214004142,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2008",4.5303657484,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2009",2.6138879526,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2010",2.8712457243,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2011",1.6379841774,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2012",1.4904352148,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2013",1.9501293792,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2014",1.9699780379,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2015",2.2930124324,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2016",2.0345596613,
"AUT","BOPFORECAST","TOT","PC_GDP","A","2017",2.0097887475,
"AUT","BOPFORECAST","TOT","USD","A","1970",-45944881.5909072,
"AUT","BOPFORECAST","TOT","USD","A","1971",-39264693.5953614,
"AUT","BOPFORECAST","TOT","USD","A","1972",-150096390.037866,
"AUT","BOPFORECAST","TOT","USD","A","1973",-309448671.979218,
"AUT","BOPFORECAST","TOT","USD","A","1974",-319391241.254196,
"AUT","BOPFORECAST","TOT","USD","A","1975",-267869531.97785,
"AUT","BOPFORECAST","TOT","USD","A","1976",-1083099060.07363,
"AUT","BOPFORECAST","TOT","USD","A","1977",-2148350449.50869,
"AUT","BOPFORECAST","TOT","USD","A","1978",-497332401.154054,
"AUT","BOPFORECAST","TOT","USD","A","1979",-796889182.432806,
"AUT","BOPFORECAST","TOT","USD","A","1980",-1172423928.56275,
"AUT","BOPFORECAST","TOT","USD","A","1981",-851709795.967899,
"AUT","BOPFORECAST","TOT","USD","A","1982",1102948960.23253,
"AUT","BOPFORECAST","TOT","USD","A","1983",587499347.507053,
"AUT","BOPFORECAST","TOT","USD","A","1984",174355701.428634,
"AUT","BOPFORECAST","TOT","USD","A","1985",297323666.27747,
"AUT","BOPFORECAST","TOT","USD","A","1986",752445297.820183,
"AUT","BOPFORECAST","TOT","USD","A","1987",333255609.324904,
"AUT","BOPFORECAST","TOT","USD","A","1988",461559504.29635,
"AUT","BOPFORECAST","TOT","USD","A","1989",1044897928.5819,
"AUT","BOPFORECAST","TOT","USD","A","1990",2464185449.23434,
"AUT","BOPFORECAST","TOT","USD","A","1991",1223106717.49616,
"AUT","BOPFORECAST","TOT","USD","A","1992",-1151084737.60809,
"AUT","BOPFORECAST","TOT","USD","A","1993",-1779477519.10247,
"AUT","BOPFORECAST","TOT","USD","A","1994",-2254611445.90365,
"AUT","BOPFORECAST","TOT","USD","A","1995",-8577813450.51425,
"AUT","BOPFORECAST","TOT","USD","A","1996",-8350654785.34836,
"AUT","BOPFORECAST","TOT","USD","A","1997",-6361002806.18458,
"AUT","BOPFORECAST","TOT","USD","A","1998",-4330748037.53148,
"AUT","BOPFORECAST","TOT","USD","A","1999",-4385974051.90436,
"AUT","BOPFORECAST","TOT","USD","A","2000",-1772754572.29005,
"AUT","BOPFORECAST","TOT","USD","A","2001",-1956448044.54257,
"AUT","BOPFORECAST","TOT","USD","A","2002",6947660055.7532,
"AUT","BOPFORECAST","TOT","USD","A","2003",5279366516.89561,
"AUT","BOPFORECAST","TOT","USD","A","2004",7819178932.06419,
"AUT","BOPFORECAST","TOT","USD","A","2005",8036660426.52995,
"AUT","BOPFORECAST","TOT","USD","A","2006",11118317561.4272,
"AUT","BOPFORECAST","TOT","USD","A","2007",14791030896.6023,
"AUT","BOPFORECAST","TOT","USD","A","2008",19526814281.5097,
"AUT","BOPFORECAST","TOT","USD","A","2009",10408307470.3813,
"AUT","BOPFORECAST","TOT","USD","A","2010",11217662478.2505,
"AUT","BOPFORECAST","TOT","USD","A","2011",6966530424.16796,
"AUT","BOPFORECAST","TOT","USD","A","2012",6054591727.57944,
"AUT","BOPFORECAST","TOT","USD","A","2013",8327310157.48525,
"AUT","BOPFORECAST","TOT","USD","A","2014",8490849247.27214,
"AUT","BOPFORECAST","TOT","USD","A","2015",8629134407.90748,
"AUT","BOPFORECAST","TOT","USD","A","2016",7855868909.31061,
"AUT","BOPFORECAST","TOT","USD","A","2017",8016420266.59696,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1975",0.0866583442,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1976",0.1661328602,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1977",-0.4821835539,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1978",-0.4158063888,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1979",-1.188514168,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1980",-1.6008719483,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1981",-1.430287172,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1982",-0.5780014122,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1983",0.4239209401,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1984",0.7150501188,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1985",1.2582113264,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1986",1.9550825311,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1987",1.4625390684,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1988",1.7279599778,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1989",1.6823069233,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1990",1.59966468,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1991",1.8528318825,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1992",2.2573478035,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1993",3.107848611,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1994",3.1189577535,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1995",2.8727142954,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1996",2.6595804463,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1997",2.935163704,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1998",2.7479876976,
"BEL","BOPFORECAST","TOT","PC_GDP","A","1999",2.6867251754,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2000",2.1296306456,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2001",1.7944266229,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2002",2.4425377319,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2003",2.1728726891,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2004",1.8389773464,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2005",1.3637637889,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2006",1.0158630576,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2007",0.8512415111,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2008",-0.9989665805,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2009",-1.0760330763,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2010",1.7641717828,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2011",-1.0727861816,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2012",-0.0542049069,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2013",-0.2215437269,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2014",0.1173114474,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2015",0.0834234819,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2016",1.0154393356,
"BEL","BOPFORECAST","TOT","PC_GDP","A","2017",1.5984572394,
"BEL","BOPFORECAST","TOT","USD","A","1975",80223984.844296,
"BEL","BOPFORECAST","TOT","USD","A","1976",127484990.853509,
"BEL","BOPFORECAST","TOT","USD","A","1977",-408433656.302692,
"BEL","BOPFORECAST","TOT","USD","A","1978",-431972510.08771,
"BEL","BOPFORECAST","TOT","USD","A","1979",-1409201036.8194,
"BEL","BOPFORECAST","TOT","USD","A","1980",-2028214562.37413,
"BEL","BOPFORECAST","TOT","USD","A","1981",-1488005380.29825,
"BEL","BOPFORECAST","TOT","USD","A","1982",-605680607.27616,
"BEL","BOPFORECAST","TOT","USD","A","1983",357645377.996687,
"BEL","BOPFORECAST","TOT","USD","A","1984",601298640.03179,
"BEL","BOPFORECAST","TOT","USD","A","1985",1069632703.01908,
"BEL","BOPFORECAST","TOT","USD","A","1986",2365459976.51677,
"BEL","BOPFORECAST","TOT","USD","A","1987",2206005878.46235,
"BEL","BOPFORECAST","TOT","USD","A","1988",2851760287.80609,
"BEL","BOPFORECAST","TOT","USD","A","1989",2791381134.90764,
"BEL","BOPFORECAST","TOT","USD","A","1990",3312425371.48382,
"BEL","BOPFORECAST","TOT","USD","A","1991",3893724095.05146,
"BEL","BOPFORECAST","TOT","USD","A","1992",5351679464.43728,
"BEL","BOPFORECAST","TOT","USD","A","1993",7007755845.8061,
"BEL","BOPFORECAST","TOT","USD","A","1994",7709599752.2719,
"BEL","BOPFORECAST","TOT","USD","A","1995",8313657260.82488,
"BEL","BOPFORECAST","TOT","USD","A","1996",7476035377.81473,
"BEL","BOPFORECAST","TOT","USD","A","1997",7459260560.35542,
"BEL","BOPFORECAST","TOT","USD","A","1998",7173798369.86361,
"BEL","BOPFORECAST","TOT","USD","A","1999",6989716586.38746,
"BEL","BOPFORECAST","TOT","USD","A","2000",5086552562.20455,
"BEL","BOPFORECAST","TOT","USD","A","2001",4273327645.21431,
"BEL","BOPFORECAST","TOT","USD","A","2002",6296450742.19524,
"BEL","BOPFORECAST","TOT","USD","A","2003",6988399500.92369,
"BEL","BOPFORECAST","TOT","USD","A","2004",6796108995.67801,
"BEL","BOPFORECAST","TOT","USD","A","2005",5123674150.30153,
"BEL","BOPFORECAST","TOT","USD","A","2006",4529891570.10317,
"BEL","BOPFORECAST","TOT","USD","A","2007",4156355006.46631,
"BEL","BOPFORECAST","TOT","USD","A","2008",-4737900821.62206,
"BEL","BOPFORECAST","TOT","USD","A","2009",-4956052805.29925,
"BEL","BOPFORECAST","TOT","USD","A","2010",8214376489.22476,
"BEL","BOPFORECAST","TOT","USD","A","2011",-5713950339.22119,
"BEL","BOPFORECAST","TOT","USD","A","2012",-274077291.403324,
"BEL","BOPFORECAST","TOT","USD","A","2013",-1005108912.18811,
"BEL","BOPFORECAST","TOT","USD","A","2014",548673631.884339,
"BEL","BOPFORECAST","TOT","USD","A","2015",380147411.024567,
"BEL","BOPFORECAST","TOT","USD","A","2016",4743242704.05252,
"BEL","BOPFORECAST","TOT","USD","A","2017",7703736039.92302,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1961",-3.0968158234,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1962",-2.7636519805,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1963",-2.3021064734,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1964",-1.2080382855,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1965",-3.3790197376,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1966",-3.0332880651,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1967",-2.4142854467,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1968",-1.4825163796,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1969",-2.6517146598,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1970",0.3078934849,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1971",-1.1638298491,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1972",-2.3754524061,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1973",-1.7253523676,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1974",-2.9613543691,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1975",-5.0630629456,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1976",-3.9138284757,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1977",-3.5469480195,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1978",-4.127115912,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1979",-3.6372779413,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1980",-2.2299574514,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1981",-4.0994429319,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1982",0.5888178905,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1983",-0.741042753,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1984",-0.366556118,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1985",-1.6084838849,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1986",-3.0237312035,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1987",-3.1955660401,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1988",-3.0350570689,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1989",-3.9472599794,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1990",-3.4327258408,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1991",-3.765056351,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1992",-3.6500157014,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1993",-3.8804303708,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1994",-2.4077530181,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1995",-0.8600677306,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1996",0.386501912,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1997",-1.380112184,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1998",-1.3970941467,
"CAN","BOPFORECAST","TOT","PC_GDP","A","1999",0.1165849009,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2000",2.512552747,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2001",2.138642548,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2002",1.6652723067,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2003",1.149756116,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2004",2.2804806255,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2005",1.8533929723,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2006",1.3680646814,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2007",0.7792962514,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2008",0.1161014694,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2009",-2.91964235,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2010",-3.5133215497,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2011",-2.6663065942,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2012",-3.2716843561,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2013",-2.9705469387,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2014",-2.100388642,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2015",-3.3155931005,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2016",-2.4295067673,
"CAN","BOPFORECAST","TOT","PC_GDP","A","2017",-1.791179993,
"CAN","BOPFORECAST","TOT","USD","A","1961",-1279823484.63424,
"CAN","BOPFORECAST","TOT","USD","A","1962",-1175759978.32759,
"CAN","BOPFORECAST","TOT","USD","A","1963",-1040645059.2306,
"CAN","BOPFORECAST","TOT","USD","A","1964",-598345772.369247,
"CAN","BOPFORECAST","TOT","USD","A","1965",-1846338706.48904,
"CAN","BOPFORECAST","TOT","USD","A","1966",-1855252901.85745,
"CAN","BOPFORECAST","TOT","USD","A","1967",-1584838751.91152,
"CAN","BOPFORECAST","TOT","USD","A","1968",-1065045624.76011,
"CAN","BOPFORECAST","TOT","USD","A","1969",-2098712715.76743,
"CAN","BOPFORECAST","TOT","USD","A","1970",277515374.505419,
"CAN","BOPFORECAST","TOT","USD","A","1971",-1156201160.82172,
"CAN","BOPFORECAST","TOT","USD","A","1972",-2681469919.59287,
"CAN","BOPFORECAST","TOT","USD","A","1973",-2261571765.18492,
"CAN","BOPFORECAST","TOT","USD","A","1974",-4738040794.08118,
"CAN","BOPFORECAST","TOT","USD","A","1975",-8792734816.93598,
"CAN","BOPFORECAST","TOT","USD","A","1976",-8070749714.96757,
"CAN","BOPFORECAST","TOT","USD","A","1977",-7511522601.18798,
"CAN","BOPFORECAST","TOT","USD","A","1978",-8988253480.16723,
"CAN","BOPFORECAST","TOT","USD","A","1979",-8830322532.3618,
"CAN","BOPFORECAST","TOT","USD","A","1980",-6094975840.87715,
"CAN","BOPFORECAST","TOT","USD","A","1981",-12525569207.0823,
