"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",31.48,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",32.66,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",34.08,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",35.96,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",37.4,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",39.44,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",41.32,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",43.57,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",45.2,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",46.51,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",50.82,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",51.61,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",53.17,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",57.06,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",58.93,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",60.38,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",61.83,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",66.29,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",66.47,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",67.98,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",69.6,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",70.08,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",73.12,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",70.01,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",72.31,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",72.53,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",74.06,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",77.62,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",77.75,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",84.09,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",86.38,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",85.17,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",86.76,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",90.94,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",90.88,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",92.7,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",98.76,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",101.28,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",103.91,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",106.18,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",108.1,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",105.74,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",109.45,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",110.79,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",112.67,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",113.48,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",118.17,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",122.22,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",126.74,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",127.17,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",124.45,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",125.96,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",126.34,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",129.14,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",128.69,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1960",0.22,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1961",0.226,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1962",0.222,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1963",0.219,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1964",0.214,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1965",0.221,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1966",0.218,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1967",0.218,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1968",0.212,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1969",0.203,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1970",0.214,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1971",0.209,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1972",0.21,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1973",0.216,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1974",0.22,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1975",0.22,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1976",0.217,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1977",0.231,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1978",0.223,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1979",0.221,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1980",0.219,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1981",0.213,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1982",0.228,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1983",0.208,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1984",0.204,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1985",0.197,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1986",0.196,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1987",0.194,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1988",0.187,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1989",0.196,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1990",0.202,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1991",0.198,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1992",0.194,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1993",0.195,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1994",0.188,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1995",0.184,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1996",0.189,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1997",0.186,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1998",0.181,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1999",0.178,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2000",0.178,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.168,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.169,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.164,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.161,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.158,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.158,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.158,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.161,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.159,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.152,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2011",0.148,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2012",0.145,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2013",0.144,
"AUS","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2014",0.14,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",10.9,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",11.01,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",11.95,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",13.09,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",13.4,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",13.46,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",13.93,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",14.17,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",15.17,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",16.23,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",18.06,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",18.82,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",19.82,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",21.48,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",20.75,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",20.12,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",21.69,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",21.17,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",21.88,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",23.7,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",23.15,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",21.93,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",21.44,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",21.5,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",22.33,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",23.09,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",23.18,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",24.05,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",24.31,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",23.92,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",24.83,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",26.43,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",25.4,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",25.69,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",25.62,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",26.76,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",28.43,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",28.23,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",28.71,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",28.64,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",28.54,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",30.16,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",30.43,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",32.2,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",32.68,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",33.77,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",33.83,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",33.43,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",33.63,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",31.96,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",34.12,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",33.09,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",33.13,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",33.22,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",32.07,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1960",0.152,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1961",0.146,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1962",0.154,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1963",0.163,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1964",0.157,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1965",0.153,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1966",0.15,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1967",0.148,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1968",0.152,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1969",0.153,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1970",0.159,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1971",0.157,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1972",0.156,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1973",0.161,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1974",0.15,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1975",0.146,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1976",0.15,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1977",0.14,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1978",0.145,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1979",0.149,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1980",0.143,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1981",0.136,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1982",0.13,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1983",0.127,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1984",0.131,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1985",0.132,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1986",0.13,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1987",0.133,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1988",0.13,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1989",0.123,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1990",0.123,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1991",0.126,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1992",0.119,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1993",0.12,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1994",0.116,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1995",0.118,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1996",0.123,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1997",0.119,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1998",0.117,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1999",0.113,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2000",0.109,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.114,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.113,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.118,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.117,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.118,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.115,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.109,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.108,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.107,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.112,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2011",0.106,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2012",0.105,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2013",0.105,
"AUT","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2014",0.101,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",23.06,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",23.61,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",25.91,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",28.27,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",28.34,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",29.49,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",29.07,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",30.5,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",34.53,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",37.4,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",39.93,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",39.66,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",43.45,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",45.99,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",45.12,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",42.32,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",45.38,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",45.12,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",47.49,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",49.01,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",46.77,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",43.53,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",41.48,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",40.96,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",42.72,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",44.11,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",45.7,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",46.66,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",47.24,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",47.69,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",48.29,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",50.58,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",51.16,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",49.96,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",52.86,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",53.77,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",56.74,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",56.81,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",57.75,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",57.92,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",58.57,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",58.45,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",56.43,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",58.72,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",58.95,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",58.75,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",58.19,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",57.26,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",58.96,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",56.78,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",61,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",57.61,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",54.42,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",56.35,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",54.03,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1960",0.246,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1961",0.24,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1962",0.251,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1963",0.262,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1964",0.246,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1965",0.25,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1966",0.239,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1967",0.241,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1968",0.262,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1969",0.266,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1970",0.267,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1971",0.256,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1972",0.266,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1973",0.265,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1974",0.25,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1975",0.238,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1976",0.241,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1977",0.238,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1978",0.244,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1979",0.246,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1980",0.225,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1981",0.21,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1982",0.199,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1983",0.195,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1984",0.199,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1985",0.202,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1986",0.206,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1987",0.205,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1988",0.198,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1989",0.194,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1990",0.19,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1991",0.196,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1992",0.195,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1993",0.192,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1994",0.197,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1995",0.196,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1996",0.203,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1997",0.196,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1998",0.195,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","1999",0.189,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2000",0.185,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2001",0.182,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2002",0.173,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2003",0.179,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2004",0.174,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2005",0.17,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2006",0.164,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2007",0.157,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2008",0.16,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2009",0.158,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2010",0.166,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2011",0.154,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2012",0.145,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2013",0.15,
"BEL","PRYENRGSUPPLY","TOT","TOE_1000USD","A","2014",0.142,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",76.14,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",78.71,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",82.86,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",89.02,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",94.76,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",101.42,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",105.71,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",113.44,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",121.8,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",128.08,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",138.1,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",141.35,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",152.5,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",159.35,
