"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPA","TOT","MLN_USD","A","2000",1479.47,
"AUS","CPA","TOT","MLN_USD","A","2001",1446.87,
"AUS","CPA","TOT","MLN_USD","A","2002",1400.12,
"AUS","CPA","TOT","MLN_USD","A","2003",1467.68,
"AUS","CPA","TOT","MLN_USD","A","2004",1507.47,
"AUS","CPA","TOT","MLN_USD","A","2005",1520.99,
"AUS","CPA","TOT","MLN_USD","A","2006",1751.05,
"AUS","CPA","TOT","MLN_USD","A","2007",1983.31,
"AUS","CPA","TOT","MLN_USD","A","2008",1970.14,
"AUS","CPA","TOT","MLN_USD","A","2009",2217.33,
"AUS","CPA","TOT","MLN_USD","A","2010",2466.68,
"AUS","CPA","TOT","MLN_USD","A","2011",2704.57,
"AUS","CPA","TOT","MLN_USD","A","2012",3158.3,
"AUS","CPA","TOT","MLN_USD","A","2013",2793.86,
"AUT","CPA","TOT","MLN_USD","A","2000",223.57,
"AUT","CPA","TOT","MLN_USD","A","2001",202.73,
"AUT","CPA","TOT","MLN_USD","A","2002",165.2,
"AUT","CPA","TOT","MLN_USD","A","2003",137.38,
"AUT","CPA","TOT","MLN_USD","A","2004",97.56,
"AUT","CPA","TOT","MLN_USD","A","2005",105.1,
"AUT","CPA","TOT","MLN_USD","A","2006",120.29,
"AUT","CPA","TOT","MLN_USD","A","2007",111.04,
"AUT","CPA","TOT","MLN_USD","A","2008",125.9,
"AUT","CPA","TOT","MLN_USD","A","2009",107.78,
"AUT","CPA","TOT","MLN_USD","A","2010",113.81,
"AUT","CPA","TOT","MLN_USD","A","2011",102.92,
"AUT","CPA","TOT","MLN_USD","A","2012",82.81,
"AUT","CPA","TOT","MLN_USD","A","2013",94.92,
"BEL","CPA","TOT","MLN_USD","A","2000",535.14,
"BEL","CPA","TOT","MLN_USD","A","2001",491.1,
"BEL","CPA","TOT","MLN_USD","A","2002",587.8,
"BEL","CPA","TOT","MLN_USD","A","2003",581.41,
"BEL","CPA","TOT","MLN_USD","A","2004",558.23,
"BEL","CPA","TOT","MLN_USD","A","2005",599.87,
"BEL","CPA","TOT","MLN_USD","A","2006",481.26,
"BEL","CPA","TOT","MLN_USD","A","2007",436.79,
"BEL","CPA","TOT","MLN_USD","A","2008",478.12,
"BEL","CPA","TOT","MLN_USD","A","2009",530.8,
"BEL","CPA","TOT","MLN_USD","A","2010",503.35,
"BEL","CPA","TOT","MLN_USD","A","2011",456.06,
"BEL","CPA","TOT","MLN_USD","A","2012",409.43,
"BEL","CPA","TOT","MLN_USD","A","2013",386.27,
"CAN","CPA","TOT","MLN_USD","A","2000",794.03,
"CAN","CPA","TOT","MLN_USD","A","2001",955.49,
"CAN","CPA","TOT","MLN_USD","A","2002",1023.56,
"CAN","CPA","TOT","MLN_USD","A","2003",1054.04,
"CAN","CPA","TOT","MLN_USD","A","2004",1204.85,
"CAN","CPA","TOT","MLN_USD","A","2005",1274.7,
"CAN","CPA","TOT","MLN_USD","A","2006",1354.5,
"CAN","CPA","TOT","MLN_USD","A","2007",1446.28,
"CAN","CPA","TOT","MLN_USD","A","2008",1944.69,
"CAN","CPA","TOT","MLN_USD","A","2009",1455.73,
"CAN","CPA","TOT","MLN_USD","A","2010",1424.78,
"CAN","CPA","TOT","MLN_USD","A","2011",1371.72,
"CAN","CPA","TOT","MLN_USD","A","2012",1143.79,
"CAN","CPA","TOT","MLN_USD","A","2013",1109.21,
"CZE","CPA","TOT","MLN_USD","A","2000",9.42,
"CZE","CPA","TOT","MLN_USD","A","2001",29.43,
"CZE","CPA","TOT","MLN_USD","A","2002",21.36,
"CZE","CPA","TOT","MLN_USD","A","2003",133.43,
"CZE","CPA","TOT","MLN_USD","A","2004",63.77,
"CZE","CPA","TOT","MLN_USD","A","2005",43.5,
