"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1960",8695.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1961",8466.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1962",8607.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1963",8590.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1964",8736.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1965",8582.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1966",8553.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1967",8490.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1968",8612.5,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1969",8452.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1970",8643.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1971",8388,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1972",8010,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1973",7929.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1974",8059.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1975",7398.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1976",7179.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1977",6976.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1978",6708.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1979",6377.3,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1980",6195.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1981",5908.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1982",5906,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1983",5573.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1984",5506.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1985",5524,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1986",5207.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5164.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1988",5043.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1989",5003.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1990",4707,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1991",4456.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1992",4412.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1993",4173.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1994",4172.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1995",4067.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4019.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1997",3928.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1998",3856.9,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1999",3789.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2000",3652.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2001",3440.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2002",3367.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3282.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3178.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3092.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3004.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2008",2953.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2009",2930.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2010",2853.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2011",2763.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1960",10826,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1961",10052.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1962",9924.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1963",9771.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1964",9448.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1965",9314.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1966",9316.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1967",9265.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1968",9095.3,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1969",9206.6,"B"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1970",9199.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1971",9157.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1972",8993.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1973",8604.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1974",8531.5,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1975",8241.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1976",7776.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1977",7662.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1978",7505.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1979",7394.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1980",7286.4,"B"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1981",6956.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1982",6969.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1983",6832.5,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1984",6623.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1985",6320.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1986",6041.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5784.6,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1988",5492.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1989",5483.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1990",5320,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1991",5319.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1992",5193,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5107.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1994",4977.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1995",4771.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4588.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1997",4338.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1998",4192.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1999",4109.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4098.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2001",3917.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2002",3766.4,"B"
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3770,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3643.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3542.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3326.9,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3271.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3175.1,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3272.4,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3219.7,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3068.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2012",2935.2,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","2013",2841.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1960",9544.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1961",9071.1,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1962",9091.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1963",9135.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1964",8813.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1965",8696.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1966",8642.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1967",8355.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1968",8383.8,"B"
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1969",8434.3,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1970",8277.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1971",8146.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1972",7956.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1973",7695.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1974",7426.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1975",7290.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1976",7227.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1977",6935.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1978",6978.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1979",6728.9,"B"
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1980",6764.1,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1981",6494,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1982",6341.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1983",6256.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1984",5991.1,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1985",5801.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1986",5796.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5546.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1988",5353.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1989",5244.1,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1990",5146.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1991",5091.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1992",5048.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1993",4970.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1994",4933.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1995",4772.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4569.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1997",4496.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1998",4399.2,"B"
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","1999",4347.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4382.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4282.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4140.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3982.5,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3781.2,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3745.4,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3624.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3676.6,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3593.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3481.7,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3445.9,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3350.8,
"BEL","YRLIFELOST","TOT","100000HAB_0_69","A","2012",3291.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1960",9112.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1961",8954.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1962",8987.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1963",8880.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1964",8650.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1965",8464.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1966",8451,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1967",8359.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1968",8137.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1969",8074.9,"B"
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1970",7968.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1971",7794.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1972",7883.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1973",7699.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1974",7595.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1975",7422.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1976",7031,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1977",6906.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1978",6725.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1979",6553.8,"B"
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1980",6301.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1981",6015.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1982",5717.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1983",5500.3,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1984",5283.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1985",5263.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1986",5218.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5080.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1988",4981.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1989",4977.6,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1990",4817.1,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1991",4657.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1992",4457.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1993",4439.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1994",4348.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1995",4290.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4115.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1997",3982.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1998",3852.4,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","1999",3799.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2000",3682.4,"B"
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2001",3642.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2002",3591.9,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2003",3565.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3468.2,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3502.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3358.5,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3341.7,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3286,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3199.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3112.8,
"CAN","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3006.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1986",7479.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1987",7242.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1988",7121.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1989",6996.7,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1990",7402.8,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1991",7110.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6930.4,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1993",6480.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1994",6345.9,"B"
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1995",6226.7,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1996",5800.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1997",5810,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5370.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5243.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2000",5151,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4963.9,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4936.8,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4917.4,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4695.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2005",4576.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4352.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2007",4281.6,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4165,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2009",4053.3,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3942.2,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3849.8,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2012",3725.5,
"CZE","YRLIFELOST","TOT","100000HAB_0_69","A","2013",3618.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1960",7355,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1961",7295.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1962",7205.7,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1963",7222.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1964",7077.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1965",7212.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1966",6972,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1967",6736.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1968",6786.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1969",6709.8,"B"
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1970",6741.4,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1971",6848.7,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1972",6616.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1973",6409.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1974",6229.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1975",6194.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1976",6250.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1977",5833.8,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1978",5894.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1979",6041.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1980",6208.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1981",5999.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1982",5872.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1983",5902.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1984",5827.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1985",5917,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1986",5830.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5841.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1988",5698.2,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1989",5733.2,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1990",5565.7,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1991",5410.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1992",5292.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5152.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1994",5228.8,"B"
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1995",5088.2,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4944.4,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1997",4732.6,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1998",4469.8,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","1999",4680.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4275.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4178.1,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4190.8,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4058,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2004",3979.7,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2005",3723.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3689.2,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3720.5,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3577.8,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3385.9,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3253.3,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3101.7,
"DNK","YRLIFELOST","TOT","100000HAB_0_69","A","2012",2941.5,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1960",9813.6,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1961",9774.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1962",9825.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1963",9543,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1964",9292.1,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1965",9425.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1966",8960.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1967",8822.4,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1968",8810.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1969",9020.9,"B"
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1970",8543.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1971",8657.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1972",8283.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1973",7856.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1974",7994,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1975",7660.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1976",7419.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1977",7166.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1978",6698.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1979",6566.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1980",6260,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1981",6105.4,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1982",5839.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1983",5798.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1984",5667.1,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1985",5740.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1986",5736.6,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1987",5710.6,"B"
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1988",5824.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1989",5760.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1990",5755.1,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1991",5563.1,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1992",5326,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5005.7,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1994",4834.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1995",4770.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1996",4640.9,"B"
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1997",4612,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1998",4486.1,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","1999",4459.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2000",4402.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4165.5,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4038.4,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4008.3,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4208.9,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2005",4027.6,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2006",3863.6,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2007",3918.7,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2008",3791.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2009",3693.5,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3556.6,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3394.8,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2012",3307.2,
"FIN","YRLIFELOST","TOT","100000HAB_0_69","A","2013",3099.5,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1960",8881.6,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1961",8648.7,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1962",8757.7,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1963",8803.4,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1964",8280.1,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1965",8292.3,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1966",8142.3,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1967",8050.7,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1968",8025.3,"B"
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1969",8179.4,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1970",7658.3,
"FRA","YRLIFELOST","TOT","100000HAB_0_69","A","1971",7683.3,
