"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1990",11.09036642,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1991",11.58530501,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1992",11.98987707,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1993",12.15720928,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1994",11.78115223,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1995",11.53189476,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1996",11.45785394,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1997",11.33990713,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1998",11.18209359,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","1999",11.26190324,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2000",11.19727694,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2001",11.50375725,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2002",11.85678864,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2003",11.66893114,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2004",11.42758832,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2005",11.16505805,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2006",10.9850674,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2007",10.74045296,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2008",10.34368452,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2009",10.49083908,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2010",10.3354404,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2011",10.16125341,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2012",9.406297124,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",9.166423113,
"AUS","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",9.37561057,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","1995",5.758120177,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","1996",5.711601364,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","1997",5.980362984,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","1998",5.903620345,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","1999",5.871990675,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2000",5.98705487,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2001",6.25367272,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2002",5.951484177,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2003",6.10078263,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2004",8.118649232,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2005",7.294397002,"B"
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2006",7.270606483,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2007",6.646353675,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2008",6.932466793,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2009",7.071675429,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2010",7.340147083,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2011",6.830188823,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2012",6.69391191,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",7.044762271,
"AUT","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",6.716207616,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","1995",15.37508271,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","1996",15.72126108,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","1997",15.85155678,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","1998",15.83115669,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","1999",11.31653835,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2000",10.66288538,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2001",9.702007053,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2002",10.64399175,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2003",10.46486263,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2004",9.91540339,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2005",10.19353712,"B"
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2006",10.35806149,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2007",10.38826931,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2008",10.29646989,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2009",10.5295973,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2010",10.4415025,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2011",10.53604436,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2012",10.80381378,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2013",11.84031102,
"BEL","SELFEMPWNOEMP","MEN","PC_EMP","A","2014",11.25494251,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2001",12.90031572,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2002",11.49274413,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2003",11.87396425,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2004",12.11258352,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2005",11.9473436,
"CAN","SELFEMPWNOEMP","MEN","PC_EMP","A","2006",12.34822196,
